date,ticker,agg_sent,agg_news,n_sent,n_news,sent_lo,sent_hi,news_lo,news_hi,low_n,combined,agg_earnings,actual_ret,momentum,window,ret_resid,sig_resid
2026-02-12,ASIANPAINT.NS,-0.3147,-0.37,9,6,-0.8945,0.3077,-0.9041,0.3484,False,-0.34235,0.1908,-0.0182949697108326,-0.0088812534704657,feb-A,-0.0056108065132549,-0.2571552083333333
2026-02-12,MARUTI.NS,0.4208,-0.2263,12,8,-0.3425,0.7749,-0.6655,0.2263,False,0.09725,,-0.0058071251468093,0.0177302609735041,feb-A,0.0068770380507683,0.1824447916666666
2026-02-12,HCLTECH.NS,-0.4671,-0.444,11,7,-0.7699,-0.0131,-0.884,0.1287,False,-0.45555,0.2526,-0.0141589723638894,-0.0831676951392818,feb-A,-0.0014748091663117,-0.3703552083333333
2026-02-12,SUNPHARMA.NS,0.3798,0.0958,17,13,-0.0673,0.693,-0.3063,0.4925,False,0.2378,0.1977,-0.0101463783114748,0.007224274054093,feb-A,0.0025377848861029,0.3229947916666666
2026-02-12,TITAN.NS,0.7349,0.2662,14,11,0.4764,0.8296,-0.3599,0.7135,False,0.50055,-0.0176,-0.0225921731108877,0.0434887990004628,feb-A,-0.00990800991331,0.5857447916666667
2026-02-12,WIPRO.NS,-0.5548,-0.0975,12,9,-0.8193,0.3493,-0.5478,0.3407,False,-0.32615,0.0918,-0.0227770926212249,-0.0613136706629103,feb-A,-0.0100929294236472,-0.2409552083333333
2026-02-12,ULTRACEMCO.NS,-0.1035,-0.3286,10,6,-0.6972,0.7059,-0.8511,0.3073,False,-0.21605,0.087,-0.0050656228413539,0.0200422766773662,feb-A,0.0076185403562237,-0.1308552083333333
2026-02-12,NESTLEIND.NS,0.3369,-0.2992,10,7,-0.3076,0.6699,-0.7938,0.2894,False,0.0188499999999999,,-0.0175411906656932,0.006941766293868,feb-A,-0.0048570274681155,0.1040447916666666
2026-02-12,ONGC.NS,-0.4986,-0.5882,11,8,-0.8112,0.5412,-0.9242,-0.1245,False,-0.5434,,-0.0323865717776388,0.0265602130897102,feb-A,-0.0197024085800611,-0.4582052083333333
2026-02-12,NTPC.NS,0.2974,-0.2684,11,7,-0.3695,0.7163,-0.7407,0.2684,False,0.0144999999999999,0.2436,-0.0142566191446028,0.0109814687714482,feb-A,-0.0015724559470251,0.0996947916666666
